Z,n,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl,N_GNA/N_cl
15,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.319958985,0.160998985
20,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.852776885,0.804116249,0.756226122,0.748866022,0.733116329,0.675887465,0.633533716,0.688964665
30,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.966244102,0.913362145,0.869125903,0.862302959,0.858751893,0.837310433,0.83087045,0.820721328,0.822096825,0.796188563,0.998020589
40,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.913369656,0.907282352,0.969376862,0.894979239,0.891729712,0.89019829,0.889887571,0.88300401,0.899384439,0.95884341,1.100248128
50,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.898392081,0.899226069,0.906552494,0.904000401,0.913331449,0.917705119,0.921466053,0.910668731,0.94718045,0.965875983,1.202475667
60,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.920231938,0.91417563,0.915319681,0.903487623,0.923244715,0.929811597,0.932950795,0.921207011,0.978245854,1.020570517,1.257157922
70,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.911892474,0.906309843,0.910552621,0.888587058,0.92678076,0.937813282,0.950585246,0.925318599,NaN,NaN,NaN
80,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.870769203,0.838953137,0.916867753,0.82199502,0.853298008,0.914675265,0.90134152,0.881730199,0.91425541,0.891892195,0.934478998,0.949021756,0.898880541,0.928307712,NaN,NaN,NaN
90,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.819411814,0.825405717,0.843478441,0.823987722,0.920960049,0.930096924,0.922199726,0.903788686,0.890790582,0.892594814,0.9179582,0.895197332,0.942177296,0.960230231,0.967442691,0.931296825,NaN,NaN,NaN
100,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.822265983,0.819190085,0.862906843,0.817581415,0.925052345,0.849036217,0.909785271,0.893613815,0.88382107,0.883965313,0.919758856,0.895078659,0.952580988,0.956825376,0.958628535,0.948699653,NaN,NaN,NaN
200,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.829492867,0.817622304,0.882335246,0.822896242,0.925727129,0.915786982,0.905311227,0.880797982,0.877130032,0.878908455,0.93006891,0.888998449,0.948495805,0.953050017,0.961574554,0.945483506,NaN,NaN,NaN
300,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81984663,0.81335634,0.891380767,0.856060386,0.906296551,0.905389726,0.894746363,0.870058954,0.870302618,0.873624384,0.93200326,0.909038484,0.94144851,0.948344767,0.956961393,0.939198315,NaN,NaN,NaN
400,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.816358864,0.814013302,0.900426288,0.856758237,0.902716398,0.891031921,0.881193936,0.861775458,0.862808585,0.868750751,0.929851115,0.882065415,0.934562683,0.96392554,0.9611485,0.93241775,NaN,NaN,NaN
500,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.845912218,0.845738471,NaN,0.848321557,0.86378777,0.821437388,0.8233729,0.90947181,0.838953137,0.850108206,0.822329283,0.820733011,0.82679081,0.855502695,0.869086325,0.91935485,0.931099117,0.928348958,0.91931504,0.914120436,0.925792158,NaN,NaN,NaN
600,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.858509779,0.859161675,0.85909536,0.857970238,0.860763132,0.85892278,0.826515913,0.832732499,0.870099008,0.897270441,0.886231959,0.872519255,0.862293065,0.841976464,0.848196805,0.859108984,0.908858597,0.884144247,0.914963722,0.926430464,0.925465524,0.920007646,NaN,NaN,NaN
700,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.873740792,0.871836841,0.871304572,0.872509599,0.872452259,0.873598874,0.873204708,0.880746245,0.821016729,0.823144376,0.872678876,0.885593593,0.86359185,0.855297387,0.849180341,0.835097313,0.844511747,0.850327432,0.930212259,0.876435101,0.923864961,0.920621872,0.926199436,0.889326394,NaN,NaN,NaN
800,17,1.035226345,NaN,NaN,NaN,NaN,NaN,0.873430133,0.865169108,0.869623244,0.882577598,0.89098984,0.889963806,0.889609694,0.887950599,0.887732983,0.893703043,0.876682937,0.888131678,0.892488182,0.823311508,0.818245769,0.873153031,0.868767858,0.862734854,0.850617349,0.841709912,0.828074247,0.836247742,0.906576455,0.869749129,0.863592982,0.917191803,0.883052289,0.893270075,0.868528187,NaN,NaN,NaN
900,18,1.035416722,0.930769265,NaN,NaN,0.948417485,0.909957945,0.885784745,0.876476526,0.878229558,0.886238754,0.88450408,0.880641401,0.878302395,0.88124162,0.87977767,0.880285025,0.879767001,0.878805488,0.878863752,0.818721175,0.830173135,0.873059988,0.85802114,0.855240762,0.842136383,0.920150697,0.82105118,0.83035779,0.914550126,0.857329845,0.84952122,0.87436533,0.887969911,0.970957816,0.919413447,NaN,NaN,NaN
1000,19,1.035356402,0.924751282,0.861467481,0.879182875,0.93716526,0.905055583,0.880577207,0.868622482,0.86808604,0.874231517,0.873443007,0.871293426,0.871878624,0.871788621,0.868663669,0.871579319,0.870082438,0.869479299,0.912775457,0.817211404,0.832101464,0.866314352,0.853117585,0.84719795,0.834632158,0.825127363,0.816196084,0.9259516,0.872618318,0.918248534,0.839503527,0.873742819,0.938242555,1.00135088,0.92798394,NaN,NaN,NaN
2000,20,1.035127521,0.91711098,0.85022682,0.863703191,0.92041105,0.896636486,0.871790588,0.859160423,0.857612669,0.862690449,0.863991559,0.864596844,0.86237663,0.862995088,0.862783194,0.862873614,0.86430192,0.8612414,0.861662626,0.815701634,0.861463428,0.861524701,0.84487209,0.831145525,0.836761475,0.818917,0.813609451,0.928012133,0.860252917,0.967967212,0.914805889,0.92514658,0.991595209,1.014172196,0.911291182,NaN,NaN,NaN
5000,21,1.034605026,0.9096843,0.839407146,0.848907292,0.901840329,0.888162434,0.86356324,0.852363527,0.848691106,0.852412224,0.859344006,0.856928825,0.85721904,0.855486572,0.855523407,0.85601145,0.85592556,0.854041874,0.852584362,0.811060905,0.828452528,0.928569317,0.836626649,0.82951346,0.820367575,0.812706649,0.811022818,0.904260635,0.82053262,0.959288716,0.831724644,0.94908917,1.006025434,1.029099345,0.936494768,NaN,NaN,NaN
10000,22,1.033483863,0.902876198,0.8296206,0.835858345,0.876920402,0.880487621,0.856593966,0.8452335,0.840918422,0.845760942,0.852383852,0.850255847,0.849618614,0.849893391,0.848426759,0.848882675,0.84940815,0.84841907,0.84970963,0.810419023,0.827462673,0.882890642,0.836310506,0.827881396,0.815215588,0.808921158,0.814530134,0.956910968,0.827666223,0.919575155,0.847063303,0.99763763,1.020264983,1.056348681,0.95890218,NaN,NaN,NaN
20000,23,1.031331778,0.896938145,0.821211994,0.825143576,0.863532722,0.874368131,0.851192296,0.840042651,0.837222278,0.838860452,0.846649408,0.846309602,0.846657693,0.84538281,0.845175683,0.844566822,0.843563735,0.840772569,0.838280082,0.811802268,0.824397922,0.875159502,0.826960206,0.82414633,0.812338233,0.807143688,0.806043267,0.834817708,0.827202082,0.971649647,0.85560286,1.007279873,1.027990937,1.064545512,1.000171542,NaN,NaN,NaN
50000,24,1.028701782,0.892128527,0.813841164,0.817171693,0.854623616,0.87037003,0.847478867,0.835745096,0.834600329,0.835269213,0.841814578,0.843481004,0.844058156,0.842547596,0.84299463,0.840669334,0.843189299,0.838721097,0.835887492,0.813013673,0.820436358,0.835395157,0.833540142,0.821910381,0.811305702,0.806688428,0.797391921,0.820833564,0.842092276,0.983732402,0.866793036,1.015587568,1.037778854,1.061435103,1.008364916,NaN,NaN,NaN
100000,25,1.026849151,0.888708532,0.807978868,0.812105536,0.850231349,0.866330206,0.844210446,0.833562136,0.83020556,0.835884035,0.839344561,0.841750085,0.842016399,0.842516124,0.840397954,0.840243101,0.834875941,0.837462425,0.841795921,0.815566063,0.820214987,0.84126544,0.839081347,0.82391572,0.81107825,0.807708085,0.788740575,0.828389585,0.848232567,0.991835356,0.890147209,1.022647262,1.046718478,1.071526289,1.015322924,NaN,NaN,NaN
200000,26,1.0261693,0.886772752,0.805575252,0.8098616,0.850119174,0.865507543,0.842585564,0.830461085,0.828331113,0.833784282,0.840220809,0.839378774,0.843156278,0.841573834,0.840448558,0.841160297,0.837343574,0.840331972,0.840839088,0.829089701,0.841710687,0.840553105,0.83331814,0.827138513,0.81406498,0.821731925,0.885419011,0.84296298,0.863250613,1.008470774,0.920606613,1.037910581,1.05239892,1.081695318,1.030039072,NaN,NaN,NaN
500000,27,1.026673198,0.886401296,0.805295348,0.809608161,0.853776634,0.865231156,0.840291798,0.82871455,0.828301311,0.831040621,0.842895627,0.842807651,0.845914364,0.842434764,0.843167365,0.844933271,0.840584934,0.842391849,0.839279294,0.826037586,0.833979547,0.835442603,0.827554941,0.830361307,0.817051709,0.894056737,0.841632128,0.844455957,0.878268659,1.005268574,0.937960625,1.03801775,1.062702894,1.090699434,1.029790282,NaN,NaN,NaN
1000000,28,1.028436422,0.887581885,0.807020724,0.812436819,0.860648692,0.866812527,0.839499772,0.82939446,0.82809031,0.831754804,0.846698761,0.847811162,0.84867245,0.845396698,0.845134258,0.84615816,0.841816366,0.844323787,0.84659034,0.829231501,0.839197874,0.861756742,0.888107359,0.827907205,0.814842463,0.841311574,0.91692394,0.92117089,0.898456216,1.006421685,0.97950834,1.044263363,1.071684122,1.100462914,1.034404874,NaN,NaN,NaN
1500000,29,1.031322241,0.890212893,0.810535669,0.817789495,0.870332778,0.869645655,0.841069818,0.831019223,0.828034222,0.837479591,0.851287961,0.852726042,0.85001564,0.851669788,0.844800115,0.847383022,0.847552061,0.846255124,0.852181017,0.845721185,0.845890641,0.850798488,0.86419338,0.843702972,0.81107825,0.836638153,0.850874126,0.943306327,0.94781363,1.019886613,1.005011559,1.052671552,1.079524279,1.110569477,1.042959809,NaN,NaN,NaN
2000000,30,1.034041286,0.894143939,0.815572083,0.824887514,0.881977081,0.871784329,0.845503032,0.832250118,0.832147658,0.842858553,0.857385218,0.858451426,0.855827689,0.85649097,0.8527233,0.852347016,0.855589926,0.853858054,0.852555573,0.851530671,0.853180468,0.8573789,0.85977608,0.841724813,0.82700181,0.911075354,0.867761672,0.951518536,0.935194373,1.023575187,0.991583765,1.060317159,1.088349581,1.120448351,1.051210165,NaN,NaN,NaN
2500000,31,1.035491824,0.899183571,0.821832776,0.83327955,0.897135496,0.87607193,0.849933624,0.837210536,0.841268063,0.848448694,0.864101291,0.863356173,0.863541067,0.858253539,0.857852161,0.860702574,0.860790551,0.859549105,0.86288482,0.859561861,0.857835233,0.863959312,0.861443758,0.857702613,0.851964951,0.807708085,0.936539471,0.907341063,0.95479393,1.033458591,0.983167768,1.068158746,1.0968225,1.131351829,1.058689475,NaN,NaN,NaN
3000000,32,NaN,0.905125082,0.829019487,0.842601061,0.913156629,0.882391691,0.853018463,0.843380928,0.848386109,0.857894123,0.874743342,0.873037875,0.873084307,0.868407369,0.867639959,0.870852053,0.869255006,0.872358382,0.869037867,0.860566556,0.881844044,0.866706491,0.86616236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000000,33,NaN,0.911768019,0.836862743,0.85225141,0.927618444,0.88821137,0.859384239,0.85326606,0.854994953,0.869983137,0.88294673,0.879881859,0.880743206,0.874655187,0.877932251,0.877770841,0.877923191,0.876574934,0.876717567,0.869571626,0.866773427,0.87930131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000000,34,NaN,0.918948233,0.845119774,0.862401307,0.941084385,0.894907176,0.866623461,0.861215472,0.864485621,0.880911231,0.891487658,0.888176203,0.886769593,0.883812129,0.885428667,0.886956215,0.890310407,0.888808668,0.88696909,0.876040459,0.875025034,0.891398311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7000000,35,NaN,0.926545143,0.853613436,0.873316169,0.953867018,0.899873316,0.876550198,0.867917717,0.876012564,0.892685413,0.899775386,0.89939779,0.895270526,0.894567132,0.894708872,0.897305131,0.894807279,0.895062923,0.896188438,0.882322252,0.882825077,0.897547364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10000000,36,NaN,0.93451941,0.86218363,0.883944869,0.962387204,0.907246828,0.884304821,0.876749754,0.885865867,0.903743386,0.909190536,0.908415377,0.903073907,0.905095756,0.905003786,0.905691564,0.905414224,0.911396384,0.907225609,0.890678704,0.878863752,0.903696418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50000000,37,NaN,0.94295311,0.870735168,0.894246221,0.970389307,0.916912973,0.890801668,0.887169123,0.895771623,0.913909554,0.917921603,0.914931715,0.911039054,0.914794981,0.913912892,0.913604021,0.9126634,0.913959324,0.91405493,0.898932993,0.912775457,0.911787629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000000,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
